Added Component: Designator=U2(DIP24 x 600mil)
Added Component: Designator=U3(DIP24 x 300mil)
Added Pin To Net: NetName=NetL1_1 Pin=U2-1
Added Pin To Net: NetName=NetL1_2 Pin=U2-2
Added Pin To Net: NetName=SDA_ESP_Micro_LV Pin=U2-5
Added Pin To Net: NetName=SCL_ESP_Micro_LV Pin=U2-6
Added Pin To Net: NetName=NetL1_3 Pin=U2-7
Added Pin To Net: NetName=NetL1_4 Pin=U2-8
Added Pin To Net: NetName=NetL1_5 Pin=U2-9
Added Pin To Net: NetName=NetL1_6 Pin=U2-10
Added Pin To Net: NetName=NetL1_7 Pin=U2-11
Added Pin To Net: NetName=NetL1_8 Pin=U2-12
Added Pin To Net: NetName=NetL1_9 Pin=U2-13
Added Pin To Net: NetName=NetU2_14 Pin=U2-14
Added Pin To Net: NetName=NetU2_15 Pin=U2-15
Added Pin To Net: NetName=NetU2_16 Pin=U2-16
Added Pin To Net: NetName=+5 Pin=U2-21
Added Pin To Net: NetName=GND Pin=U2-23
Added Pin To Net: NetName=NetU2_14 Pin=U3-1
Added Pin To Net: NetName=NetL?_3 Pin=U3-2
Added Pin To Net: NetName=GND Pin=U3-4
Added Pin To Net: NetName=GND Pin=U3-9
Added Pin To Net: NetName=NetL?_1 Pin=U3-11
Added Pin To Net: NetName=NetU2_15 Pin=U3-12
Added Pin To Net: NetName=NetU2_16 Pin=U3-13
Added Pin To Net: NetName=NetL?_17 Pin=U3-14
Added Pin To Net: NetName=NetL?_12 Pin=U3-15
Added Pin To Net: NetName=NetL?_16 Pin=U3-16
Added Pin To Net: NetName=NetL?_11 Pin=U3-17
Added Pin To Net: NetName=NetR/_1 Pin=U3-18
Added Pin To Net: NetName=+5 Pin=U3-19
Added Pin To Net: NetName=NetL?_15 Pin=U3-20
Added Pin To Net: NetName=NetL?_13 Pin=U3-21
Added Pin To Net: NetName=NetL?_18 Pin=U3-22
Added Pin To Net: NetName=NetL?_14 Pin=U3-23
Added Member To Class: ClassName=RightSide Member=Component U2 Pro Micro
Added Member To Class: ClassName=RightSide Member=Component U3 MAX7219
